epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7297,1.41922,2.08692,2.62828,1.05835,0,0.01385,1,0.35971,0.27743,0.01385,1,0.35982,0.29122,0.60721,0.74524,3.10788,0.82301,0,0.000363212,0.000363212,0.000363212
2,19.6031,1.2777,1.82632,1.51271,1.0491,0,0.99573,0.18233,0.53296,0.43246,0.99573,0.18233,0.53296,0.43724,0.5487,0.60329,1.95494,0.83889,0,0.000726283,0.000726283,0.000726283
3,29.8808,1.23212,1.76235,1.38617,1.04797,0,0.43313,0.72849,0.55298,0.47967,0.43313,0.72849,0.55298,0.51101,0.5978,0.48142,1.29136,0.84298,0,0.00108202,0.00108202,0.00108202
4,40.1062,1.21173,1.69999,1.26548,1.03402,0,0.61285,0.75966,0.69803,0.63737,0.61285,0.75966,0.69803,0.62153,0.4767,0.53034,0.92275,0.83105,0,0.001078,0.001078,0.001078
5,50.5165,1.18889,1.66962,1.24996,1.02215,0,0.5687,0.93981,0.63964,0.5594,0.5687,0.93981,0.63964,0.58541,0.57325,0.36807,0.77441,0.8247,0,0.001067,0.001067,0.001067
6,59.8949,1.16488,1.63374,1.19586,1.01955,0,0.64514,0.71561,0.66242,0.60593,0.64514,0.71561,0.66242,0.57991,0.49097,0.53019,0.75243,0.828,0,0.00105601,0.00105601,0.00105601
7,69.5878,1.10726,1.53876,1.12902,0.99237,0,0.39903,0.90585,0.63416,0.56915,0.39903,0.90585,0.63416,0.5632,0.46318,0.46589,0.67671,0.82138,0,0.00104501,0.00104501,0.00104501
8,79.2101,1.07443,1.46168,1.11223,0.98898,0,0.57073,0.84234,0.69986,0.64851,0.57073,0.84234,0.69986,0.62473,0.43138,0.37285,0.64503,0.81637,0,0.00103401,0.00103401,0.00103401
9,91.0313,1.09746,1.48778,1.09882,1.00298,0,0.53188,0.85317,0.74811,0.67977,0.53188,0.85317,0.74811,0.69024,0.4765,0.38649,0.6355,0.82627,0,0.00102301,0.00102301,0.00102301
10,106.219,1.0851,1.52622,1.07894,1.00738,0,0.56025,0.85662,0.74462,0.66818,0.56025,0.85662,0.74462,0.65883,0.41858,0.45357,0.6037,0.81672,0,0.00101201,0.00101201,0.00101201
11,116.467,1.04099,1.47674,1.04543,0.98627,0,0.61143,0.8965,0.79538,0.7433,0.61143,0.8965,0.79538,0.69377,0.44107,0.47435,0.62066,0.83222,0,0.00100101,0.00100101,0.00100101
12,127.655,1.02434,1.45363,0.98499,0.97993,0,0.63583,0.88434,0.7645,0.69893,0.63583,0.88434,0.7645,0.67539,0.40009,0.36373,0.56109,0.80949,0,0.000990012,0.000990012,0.000990012
13,136.625,0.98034,1.36516,0.98318,0.96232,0,0.68087,0.95429,0.78384,0.71552,0.68087,0.95429,0.78384,0.69695,0.39769,0.41696,0.54111,0.80796,0,0.000979013,0.000979013,0.000979013
14,145.555,1.01468,1.5177,0.96846,0.96779,0,0.50677,0.92595,0.74321,0.68642,0.50677,0.92595,0.74321,0.65172,0.38598,0.44173,0.54404,0.80882,0,0.000968014,0.000968014,0.000968014
15,154.303,0.96915,1.40899,0.90283,0.96082,0,0.68851,0.86843,0.84363,0.7835,0.68851,0.86843,0.84363,0.7533,0.36519,0.39683,0.537,0.80547,0,0.000957015,0.000957015,0.000957015
16,163.134,0.99189,1.37011,0.91714,0.96476,0,0.71364,0.84406,0.83105,0.76637,0.71364,0.84406,0.83105,0.75487,0.41717,0.39625,0.54258,0.81242,0,0.000946016,0.000946016,0.000946016
17,171.94,0.97557,1.35899,0.88543,0.9576,0,0.8028,0.82149,0.83479,0.7768,0.8028,0.82149,0.83479,0.7247,0.40092,0.41755,0.52195,0.80732,0,0.000935018,0.000935018,0.000935018
18,180.736,0.95823,1.36252,0.85858,0.95123,0,0.63985,0.91291,0.83689,0.77809,0.63985,0.91291,0.83689,0.7392,0.40196,0.39719,0.50263,0.80045,0,0.000924019,0.000924019,0.000924019
19,189.554,0.96254,1.34858,0.85922,0.95209,0,0.55816,0.92394,0.76727,0.70853,0.55816,0.92394,0.76727,0.68407,0.41715,0.44947,0.56111,0.81551,0,0.00091302,0.00091302,0.00091302
20,198.371,0.96253,1.28927,0.85037,0.95142,0,0.60507,0.95907,0.87029,0.80512,0.60507,0.95907,0.87029,0.78861,0.40837,0.40034,0.48253,0.81394,0,0.000902021,0.000902021,0.000902021
