epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6986,0.49418,0.6377,0.71353,0.95897,0,0.99927,0.97143,0.99016,0.88104,0.99927,0.97143,0.99016,0.93744,0.54181,0.24982,0.5071,1.18763,0,0.000331407,0.000331407,0.0671908
2,60.644,0.39462,0.31446,0.37064,0.90217,0,0.99989,1,0.995,0.92199,0.99989,1,0.995,0.95706,0.4154,0.12936,0.37957,1.10654,0,0.000660353,0.000660353,0.0341864
3,89.1814,0.38594,0.27809,0.33887,0.90092,0,0.99357,1,0.995,0.95551,0.99357,1,0.995,0.98895,0.28053,0.13429,0.32114,0.96066,0,0.000984899,0.000984899,0.00117758
4,117.458,0.37396,0.27792,0.31508,0.89354,0,0.99642,1,0.995,0.97418,0.99642,1,0.995,0.97564,0.30832,0.13166,0.35014,0.98765,0,0.0009802,0.0009802,0.0009802
5,144.217,0.36016,0.24673,0.29632,0.89167,0,0.98588,0.99776,0.99472,0.95885,0.98588,0.99776,0.99472,0.98147,0.31587,0.13444,0.26134,0.99901,0,0.0009736,0.0009736,0.0009736
6,171.048,0.34909,0.27588,0.28299,0.88288,0,0.9949,1,0.995,0.97008,0.98069,0.98571,0.982,0.96326,0.25933,0.11487,0.39222,0.92969,0,0.000967,0.000967,0.000967
7,198.056,0.36654,0.25757,0.29411,0.89833,0,1,0.98114,0.99253,0.9707,1,0.98114,0.99253,0.97417,0.23399,0.10345,0.24965,0.92905,0,0.0009604,0.0009604,0.0009604
8,225.186,0.33528,0.22943,0.26065,0.87578,0,0.99801,1,0.995,0.97485,0.99801,1,0.995,0.98936,0.25354,0.08192,0.26151,0.92463,0,0.0009538,0.0009538,0.0009538
9,252.413,0.33255,0.22138,0.26011,0.87691,0,0.99384,0.98571,0.99409,0.99014,0.99384,0.98571,0.99409,0.99149,0.17155,0.0927,0.2559,0.88684,0,0.0009472,0.0009472,0.0009472
10,279.845,0.31556,0.22262,0.24198,0.87101,0,0.98975,1,0.995,0.9873,0.98975,1,0.995,0.995,0.18497,0.0632,0.18021,0.89476,0,0.0009406,0.0009406,0.0009406
11,307.25,0.3126,0.1965,0.2386,0.87176,0,0.9993,1,0.995,0.98996,0.9993,1,0.995,0.994,0.24476,0.09998,0.21759,0.92861,0,0.000934,0.000934,0.000934
12,334.807,0.30932,0.2002,0.23875,0.86747,0,1,0.99932,0.995,0.98568,1,0.99932,0.995,0.99061,0.18386,0.07816,0.17134,0.90805,0,0.0009274,0.0009274,0.0009274
13,362.436,0.30118,0.19435,0.2319,0.86511,0,0.99286,1,0.995,0.99083,0.99286,1,0.995,0.992,0.18559,0.08351,0.21428,0.89637,0,0.0009208,0.0009208,0.0009208
