epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.2156,0.00727,1,1,3e-05,0.000331633,0.000331633,0.0671684
2,22.8496,5e-05,1,1,2e-05,0.0006518,0.0006518,0.0341552
3,34.7728,3e-05,1,1,1e-05,0.000958767,0.000958767,0.00112883
4,46.7096,2e-05,1,1,1e-05,0.0009406,0.0009406,0.0009406
5,58.5735,1e-05,1,1,1e-05,0.0009208,0.0009208,0.0009208
6,70.4314,1e-05,1,1,1e-05,0.000901,0.000901,0.000901
7,82.2467,1e-05,1,1,0,0.0008812,0.0008812,0.0008812
8,94.0256,1e-05,1,1,0,0.0008614,0.0008614,0.0008614
9,105.789,0,1,1,0,0.0008416,0.0008416,0.0008416
10,117.826,0,1,1,0,0.0008218,0.0008218,0.0008218
11,129.989,0,1,1,0,0.000802,0.000802,0.000802
