epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5717,1.3654,2.95429,1.49782,0.91141,0.10175,0.22665,0.15565,1.51954,3.12816,1.66784,0.0003333,0.0003333,0.0003333
2,56.8258,1.36349,1.93446,1.47018,0.85599,0.20377,0.28137,0.19486,1.47817,2.52555,1.684,0.000671001,0.000671001,0.000671001
3,63.7769,1.30733,1.74234,1.43153,0.79704,0.25422,0.38612,0.2518,1.5773,2.18669,1.68077,0.00100188,0.00100188,0.00100188
4,70.755,1.21748,1.54291,1.36515,0.57836,0.31208,0.36331,0.23392,1.70455,2.44631,1.9004,0.001078,0.001078,0.001078
5,77.7203,1.20265,1.51074,1.36462,0.62813,0.33154,0.36063,0.22335,1.69248,2.42517,1.83881,0.001067,0.001067,0.001067
6,84.6905,1.16411,1.44489,1.32009,0.74431,0.33117,0.42037,0.27909,1.74582,2.10765,1.93442,0.00105601,0.00105601,0.00105601
7,91.6843,1.18828,1.43168,1.33895,0.60835,0.41679,0.45137,0.30023,1.53177,1.81798,1.7304,0.00104501,0.00104501,0.00104501
8,98.7211,1.14279,1.34457,1.33101,0.60287,0.49714,0.53227,0.35422,1.49134,1.76651,1.69817,0.00103401,0.00103401,0.00103401
9,105.725,1.10063,1.2333,1.28049,0.62885,0.45362,0.4669,0.30811,1.4547,1.79442,1.66116,0.00102301,0.00102301,0.00102301
10,112.777,1.07119,1.20578,1.26134,0.66991,0.44931,0.53293,0.36708,1.45518,1.66491,1.67199,0.00101201,0.00101201,0.00101201
11,119.834,1.07837,1.22751,1.26944,0.84254,0.49106,0.56833,0.38465,1.44553,1.73816,1.61211,0.00100101,0.00100101,0.00100101
12,126.927,1.03658,1.15731,1.24246,0.59675,0.5679,0.61043,0.43084,1.55734,1.64781,1.79204,0.000990012,0.000990012,0.000990012
13,133.99,1.05827,1.15209,1.25314,0.64985,0.50982,0.59004,0.39114,1.57232,2.15654,1.74936,0.000979013,0.000979013,0.000979013
14,141.052,1.00588,1.08093,1.21485,0.75275,0.50721,0.57767,0.38544,1.41187,1.63706,1.60277,0.000968014,0.000968014,0.000968014
15,148.063,0.97936,1.05555,1.19632,0.72086,0.50289,0.54566,0.38553,1.4014,1.61814,1.6158,0.000957015,0.000957015,0.000957015
16,155.089,0.99843,1.05691,1.22185,0.6484,0.49355,0.58553,0.41025,1.45247,1.55028,1.63003,0.000946016,0.000946016,0.000946016
17,162.118,0.95319,1.01551,1.19432,0.70395,0.37761,0.59182,0.39182,1.46525,1.73893,1.67273,0.000935018,0.000935018,0.000935018
18,169.171,0.94884,1.01278,1.20451,0.64899,0.5553,0.60221,0.40091,1.46711,1.6504,1.7194,0.000924019,0.000924019,0.000924019
19,176.211,0.92562,0.96421,1.18107,0.73163,0.56084,0.61179,0.42964,1.36888,1.51181,1.57899,0.00091302,0.00091302,0.00091302
20,183.273,0.95344,0.97589,1.18918,0.6472,0.51977,0.58797,0.39003,1.43477,1.67574,1.61604,0.000902021,0.000902021,0.000902021
21,190.34,0.94239,0.93702,1.18776,0.55826,0.53222,0.56117,0.38152,1.42427,1.68047,1.55619,0.000891022,0.000891022,0.000891022
22,197.423,0.92565,0.90474,1.17044,0.72217,0.52099,0.61111,0.43668,1.36314,1.49148,1.49797,0.000880023,0.000880023,0.000880023
23,204.524,0.9019,0.89688,1.15602,0.5924,0.5547,0.56936,0.38679,1.41462,1.75229,1.60692,0.000869024,0.000869024,0.000869024
24,211.626,0.88149,0.85871,1.129,0.73463,0.55049,0.60485,0.41763,1.3634,1.6154,1.60058,0.000858025,0.000858025,0.000858025
25,218.773,0.90153,0.84657,1.14876,0.77727,0.55257,0.61894,0.44031,1.35416,1.55437,1.52591,0.000847026,0.000847026,0.000847026
26,225.926,0.86684,0.8498,1.14312,0.72929,0.54727,0.61819,0.42872,1.45434,1.60686,1.67644,0.000836027,0.000836027,0.000836027
27,233.146,0.84806,0.80851,1.10839,0.75242,0.54411,0.59108,0.43027,1.46927,1.65037,1.65804,0.000825029,0.000825029,0.000825029
28,240.382,0.86058,0.79992,1.13017,0.77422,0.54095,0.58946,0.42055,1.40388,1.65052,1.60385,0.00081403,0.00081403,0.00081403
29,247.616,0.81602,0.76466,1.098,0.7128,0.59233,0.63656,0.43448,1.38538,1.56507,1.57642,0.000803031,0.000803031,0.000803031
30,254.803,0.85159,0.79082,1.13608,0.65083,0.61646,0.62052,0.43663,1.44889,1.57811,1.60496,0.000792032,0.000792032,0.000792032
31,262.008,0.84538,0.78257,1.12814,0.65326,0.60187,0.62,0.44093,1.45983,1.60017,1.68736,0.000781033,0.000781033,0.000781033
32,269.285,0.82952,0.78171,1.1171,0.78805,0.57077,0.64355,0.45447,1.37139,1.51558,1.6632,0.000770034,0.000770034,0.000770034
33,276.521,0.79673,0.73363,1.09319,0.69272,0.56543,0.63352,0.47024,1.38755,1.74589,1.63339,0.000759035,0.000759035,0.000759035
34,283.665,0.79783,0.7184,1.09811,0.73341,0.57999,0.61324,0.44129,1.41846,1.52886,1.60975,0.000748036,0.000748036,0.000748036
35,290.832,0.79767,0.7088,1.07743,0.71684,0.57854,0.60771,0.43523,1.41358,1.55931,1.65057,0.000737037,0.000737037,0.000737037
36,298.015,0.78617,0.71135,1.08588,0.72804,0.52345,0.58944,0.42674,1.43584,1.56239,1.67163,0.000726038,0.000726038,0.000726038
37,305.216,0.76445,0.68431,1.06937,0.74316,0.57989,0.57793,0.41524,1.37453,1.69773,1.58973,0.00071504,0.00071504,0.00071504
38,312.428,0.7589,0.66705,1.05993,0.72504,0.51613,0.5499,0.41232,1.36611,1.7549,1.65649,0.000704041,0.000704041,0.000704041
39,319.744,0.75067,0.66932,1.07258,0.72886,0.56113,0.6013,0.43566,1.41759,1.6374,1.66199,0.000693042,0.000693042,0.000693042
40,326.983,0.77108,0.68839,1.08088,0.78911,0.55651,0.60551,0.42869,1.46546,1.5129,1.71098,0.000682043,0.000682043,0.000682043
41,334.139,0.74423,0.66292,1.0704,0.72565,0.55529,0.59769,0.44274,1.43535,1.70234,1.67052,0.000671044,0.000671044,0.000671044
42,341.315,0.75546,0.64775,1.07079,0.75412,0.55996,0.61477,0.43503,1.4724,1.74771,1.72625,0.000660045,0.000660045,0.000660045
43,348.46,0.73777,0.65031,1.05612,0.75512,0.55279,0.62858,0.47409,1.39273,1.53498,1.65865,0.000649046,0.000649046,0.000649046
44,355.679,0.72221,0.62342,1.05124,0.72143,0.54754,0.60882,0.43639,1.43343,1.55314,1.70198,0.000638047,0.000638047,0.000638047
45,362.874,0.72616,0.6411,1.05896,0.73815,0.58957,0.63857,0.44294,1.43888,1.55224,1.71586,0.000627048,0.000627048,0.000627048
46,370.081,0.70417,0.59406,1.03523,0.75381,0.55865,0.61835,0.44641,1.42983,1.64257,1.71009,0.000616049,0.000616049,0.000616049
47,377.263,0.72062,0.62961,1.06318,0.70979,0.54662,0.59375,0.42637,1.40247,1.59873,1.66793,0.000605051,0.000605051,0.000605051
48,384.448,0.7026,0.60306,1.04062,0.60236,0.55151,0.58013,0.42879,1.42461,1.65983,1.64892,0.000594052,0.000594052,0.000594052
49,391.657,0.70362,0.60357,1.03545,0.68776,0.56027,0.58638,0.41848,1.45895,1.68236,1.71128,0.000583053,0.000583053,0.000583053
50,398.877,0.69199,0.59123,1.0347,0.71528,0.53621,0.58547,0.41411,1.38671,1.83033,1.65692,0.000572054,0.000572054,0.000572054
51,406.124,0.67355,0.58088,1.022,0.76126,0.55544,0.55561,0.39718,1.42476,1.71012,1.70224,0.000561055,0.000561055,0.000561055
52,413.4,0.66264,0.55934,1.0214,0.8027,0.56997,0.61386,0.44074,1.42398,1.74532,1.70771,0.000550056,0.000550056,0.000550056
53,420.604,0.66544,0.59588,1.02946,0.72644,0.57462,0.59838,0.43194,1.42742,1.76504,1.71896,0.000539057,0.000539057,0.000539057
54,427.841,0.65137,0.55783,1.01147,0.74002,0.55446,0.55728,0.38694,1.36506,1.73595,1.66817,0.000528058,0.000528058,0.000528058
55,435.043,0.6627,0.57774,1.03031,0.70736,0.5777,0.59905,0.42699,1.37641,1.57655,1.6762,0.000517059,0.000517059,0.000517059
56,442.273,0.64897,0.55223,1.02236,0.77781,0.57196,0.62939,0.43767,1.44336,1.64987,1.74729,0.00050606,0.00050606,0.00050606
57,449.443,0.65084,0.55753,1.01742,0.73428,0.55804,0.61086,0.44395,1.41343,1.66004,1.7034,0.000495062,0.000495062,0.000495062
58,456.723,0.63873,0.53401,1.01077,0.74361,0.60333,0.62467,0.45458,1.38972,1.69066,1.6769,0.000484063,0.000484063,0.000484063
59,464.033,0.63847,0.55089,1.01216,0.67784,0.58348,0.6077,0.43835,1.41008,1.73105,1.66882,0.000473064,0.000473064,0.000473064
60,471.333,0.61419,0.51062,0.99103,0.70816,0.57026,0.61733,0.45156,1.40791,1.64055,1.66681,0.000462065,0.000462065,0.000462065
61,478.563,0.62969,0.52765,1.00671,0.75619,0.56765,0.60905,0.41421,1.45907,1.67393,1.72683,0.000451066,0.000451066,0.000451066
62,485.859,0.61343,0.51842,1.00011,0.76576,0.57291,0.59444,0.43484,1.39913,1.74017,1.68425,0.000440067,0.000440067,0.000440067
63,493.328,0.60799,0.51864,0.99529,0.65499,0.57978,0.58595,0.40749,1.45189,1.66641,1.76339,0.000429068,0.000429068,0.000429068
64,500.909,0.61556,0.52353,0.99681,0.74416,0.54844,0.60539,0.41355,1.38471,1.64487,1.68833,0.000418069,0.000418069,0.000418069
65,508.326,0.62113,0.5151,1.00539,0.73996,0.58548,0.62474,0.43144,1.4035,1.66584,1.7295,0.00040707,0.00040707,0.00040707
66,515.603,0.60918,0.51075,0.99168,0.72673,0.59193,0.62147,0.42953,1.43168,1.67711,1.73714,0.000396071,0.000396071,0.000396071
67,522.894,0.61363,0.5114,0.99938,0.75598,0.58918,0.61593,0.44342,1.38311,1.5769,1.69824,0.000385073,0.000385073,0.000385073
68,530.524,0.58807,0.4994,0.98072,0.68555,0.63717,0.63165,0.47923,1.43331,1.7122,1.74521,0.000374074,0.000374074,0.000374074
69,540.899,0.60084,0.50909,0.99295,0.71063,0.61637,0.63864,0.49088,1.42142,1.71548,1.72903,0.000363075,0.000363075,0.000363075
70,549.444,0.59094,0.50179,0.98279,0.71045,0.58627,0.64203,0.47677,1.37506,1.68999,1.70056,0.000352076,0.000352076,0.000352076
71,557.603,0.58704,0.48822,0.98606,0.72331,0.59528,0.64502,0.48154,1.36711,1.62749,1.68681,0.000341077,0.000341077,0.000341077
72,565.635,0.56529,0.46636,0.97419,0.74855,0.57883,0.62996,0.47307,1.37649,1.66903,1.70348,0.000330078,0.000330078,0.000330078
73,573.638,0.56976,0.46028,0.97084,0.78251,0.5848,0.6419,0.48068,1.37688,1.64526,1.68323,0.000319079,0.000319079,0.000319079
74,581.925,0.57057,0.47122,0.97787,0.73289,0.60418,0.66395,0.48666,1.3844,1.67706,1.71647,0.00030808,0.00030808,0.00030808
75,590.117,0.54648,0.45506,0.96062,0.74492,0.60511,0.66003,0.49268,1.41209,1.73213,1.72922,0.000297081,0.000297081,0.000297081
76,603.594,0.55068,0.45731,0.96671,0.7344,0.61112,0.64338,0.47758,1.41582,1.70231,1.77131,0.000286083,0.000286083,0.000286083
77,613.839,0.55055,0.46105,0.96949,0.70925,0.59039,0.64072,0.46792,1.40722,1.80496,1.76079,0.000275084,0.000275084,0.000275084
78,621.162,0.54586,0.44764,0.95843,0.72765,0.59506,0.64196,0.47612,1.42548,1.6835,1.78806,0.000264085,0.000264085,0.000264085
