epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2998,0.70732,1.23457,0.84665,0.7728,0.91598,0.92617,0.81173,0.54503,0.75696,0.81604,0.000331633,0.000331633,0.0671684
2,85.6365,0.57964,0.47626,0.82427,0.98684,0.99845,0.98722,0.87799,0.46852,0.38102,0.80079,0.0006518,0.0006518,0.0341552
3,128.117,0.56371,0.42117,0.82213,0.98226,0.99793,0.98938,0.89621,0.45382,0.35264,0.80015,0.000958767,0.000958767,0.00112883
4,170.735,0.53914,0.38641,0.81903,0.98379,0.99715,0.98802,0.90227,0.41684,0.31895,0.79148,0.0009406,0.0009406,0.0009406
5,213.674,0.51642,0.36311,0.81787,0.98851,0.99567,0.98763,0.90174,0.40737,0.29774,0.7901,0.0009208,0.0009208,0.0009208
6,256.623,0.51121,0.3531,0.81468,0.98793,0.99982,0.98839,0.90419,0.42628,0.29946,0.79042,0.000901,0.000901,0.000901
7,299.801,0.50828,0.34138,0.81389,0.9881,0.99584,0.98539,0.89526,0.42916,0.28916,0.79288,0.0008812,0.0008812,0.0008812
8,342.957,0.48891,0.32394,0.80973,0.98874,1,0.98542,0.90856,0.394,0.26477,0.7857,0.0008614,0.0008614,0.0008614
9,386.324,0.48572,0.32009,0.81197,0.98886,1,0.98706,0.90446,0.40747,0.28101,0.78568,0.0008416,0.0008416,0.0008416
10,429.617,0.47766,0.31463,0.80783,0.98872,0.99784,0.9872,0.90926,0.38538,0.2549,0.78159,0.0008218,0.0008218,0.0008218
11,473.145,0.47883,0.31,0.80721,0.98797,0.99583,0.9887,0.90737,0.4072,0.26329,0.78593,0.000802,0.000802,0.000802
12,516.643,0.4714,0.30951,0.8074,0.98801,1,0.98625,0.90839,0.39094,0.25034,0.78445,0.0007822,0.0007822,0.0007822
13,560.24,0.4688,0.3007,0.80619,0.98843,1,0.98682,0.91064,0.38465,0.24636,0.78365,0.0007624,0.0007624,0.0007624
14,603.88,0.45907,0.2994,0.80829,0.98875,1,0.98582,0.90922,0.38858,0.23805,0.78429,0.0007426,0.0007426,0.0007426
15,647.497,0.45293,0.29231,0.80449,0.98723,0.99823,0.9865,0.90749,0.38264,0.24457,0.78193,0.0007228,0.0007228,0.0007228
16,691.085,0.44924,0.28633,0.80296,0.98821,0.998,0.98785,0.91897,0.37692,0.23521,0.78265,0.000703,0.000703,0.000703
17,734.818,0.45125,0.28936,0.80315,0.98883,1,0.9878,0.92385,0.37507,0.23336,0.78113,0.0006832,0.0006832,0.0006832
18,778.476,0.4435,0.28284,0.8025,0.98821,0.99807,0.98657,0.91623,0.37858,0.24451,0.78208,0.0006634,0.0006634,0.0006634
19,822.045,0.43599,0.27631,0.80037,0.98846,0.99774,0.98642,0.91708,0.37828,0.23457,0.781,0.0006436,0.0006436,0.0006436
20,865.832,0.43672,0.27489,0.80065,0.98506,0.9979,0.98712,0.92199,0.36337,0.23005,0.77905,0.0006238,0.0006238,0.0006238
21,909.543,0.42607,0.26842,0.79917,0.98813,0.99784,0.98704,0.9145,0.37453,0.23318,0.78136,0.000604,0.000604,0.000604
22,953.246,0.43054,0.27079,0.80204,0.98873,1,0.98643,0.92235,0.37192,0.22474,0.78039,0.0005842,0.0005842,0.0005842
23,996.892,0.42531,0.2664,0.80044,0.98868,0.99802,0.98603,0.9219,0.35139,0.22389,0.77751,0.0005644,0.0005644,0.0005644
24,1040.57,0.41663,0.25725,0.80318,0.98302,0.99784,0.98665,0.91643,0.37343,0.22702,0.78129,0.0005446,0.0005446,0.0005446
25,1084.47,0.42423,0.25924,0.79855,0.98856,0.9938,0.98538,0.92036,0.35687,0.21937,0.77848,0.0005248,0.0005248,0.0005248
26,1128.16,0.41658,0.25415,0.7981,0.98864,0.99798,0.98613,0.9257,0.3485,0.2103,0.77764,0.000505,0.000505,0.000505
27,1173.27,0.41299,0.25945,0.79634,0.98429,0.99366,0.98768,0.92473,0.35594,0.21901,0.7773,0.0004852,0.0004852,0.0004852
28,1217.41,0.41073,0.24884,0.79655,0.98761,0.99784,0.98673,0.92038,0.35782,0.21891,0.77697,0.0004654,0.0004654,0.0004654
