epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9797,1.20245,2.313,1.01905,0.81746,0.70896,0.77143,0.54141,0.99639,1.16864,0.94268,0.000367989,0.000367989,0.000367989
2,85.8804,1.02049,1.17384,0.95748,0.82357,0.75798,0.83132,0.60509,0.91289,0.71151,0.91176,0.000723704,0.000723704,0.000723704
3,119.815,0.95441,0.92669,0.94347,0.85826,0.75493,0.80162,0.58955,0.90391,0.74399,0.9213,0.00106475,0.00106475,0.00106475
4,153.904,0.94835,0.80837,0.94322,0.87845,0.82194,0.86628,0.63733,0.89395,0.60563,0.92134,0.00104501,0.00104501,0.00104501
5,188.367,0.92918,0.71177,0.9361,0.87907,0.85135,0.88352,0.65688,0.80879,0.56702,0.90033,0.00102301,0.00102301,0.00102301
6,222.775,0.88547,0.64357,0.92024,0.90158,0.85923,0.88843,0.67309,0.81627,0.5519,0.88633,0.00100101,0.00100101,0.00100101
7,257.403,0.87367,0.61541,0.91443,0.95213,0.84013,0.89139,0.6787,0.78109,0.50208,0.88304,0.000979013,0.000979013,0.000979013
8,292.232,0.85226,0.59013,0.91389,0.93452,0.83956,0.8979,0.6883,0.76248,0.49433,0.88107,0.000957015,0.000957015,0.000957015
9,327.103,0.83054,0.56308,0.90679,0.91947,0.82158,0.87195,0.66662,0.74863,0.49482,0.87263,0.000935018,0.000935018,0.000935018
10,362.096,0.83736,0.56072,0.90938,0.9382,0.84186,0.89945,0.70027,0.74691,0.46103,0.87397,0.00091302,0.00091302,0.00091302
11,397.164,0.78914,0.52296,0.90026,0.93408,0.84474,0.89734,0.70204,0.76611,0.45905,0.87971,0.000891022,0.000891022,0.000891022
12,432.465,0.80565,0.52242,0.90112,0.97472,0.8502,0.90718,0.70554,0.73677,0.44257,0.8749,0.000869024,0.000869024,0.000869024
13,467.683,0.78547,0.51874,0.89839,0.9416,0.87545,0.91525,0.70287,0.73821,0.45719,0.87547,0.000847026,0.000847026,0.000847026
14,503.005,0.78996,0.50634,0.8952,0.9597,0.85641,0.90242,0.6932,0.74137,0.43612,0.88028,0.000825029,0.000825029,0.000825029
15,538.699,0.75958,0.49085,0.88459,0.95851,0.8631,0.91123,0.70675,0.729,0.4227,0.87548,0.000803031,0.000803031,0.000803031
16,574.066,0.76805,0.48136,0.89232,0.93281,0.86649,0.91069,0.72025,0.71511,0.41758,0.86892,0.000781033,0.000781033,0.000781033
17,609.385,0.76483,0.48797,0.89053,0.94287,0.8525,0.88355,0.6969,0.71714,0.43766,0.87522,0.000759035,0.000759035,0.000759035
18,644.756,0.75934,0.4845,0.88852,0.95807,0.85397,0.90155,0.70342,0.72969,0.41766,0.88386,0.000737037,0.000737037,0.000737037
19,680.229,0.73755,0.46397,0.88146,0.95381,0.87836,0.91688,0.72134,0.69175,0.40363,0.86507,0.00071504,0.00071504,0.00071504
20,715.733,0.7312,0.4671,0.88084,0.95673,0.87266,0.91152,0.72488,0.70135,0.39731,0.86539,0.000693042,0.000693042,0.000693042
21,751.366,0.72521,0.45229,0.88091,0.94896,0.87321,0.91601,0.72588,0.7001,0.40684,0.8613,0.000671044,0.000671044,0.000671044
22,787.209,0.72357,0.45182,0.87821,0.96267,0.87933,0.91426,0.73361,0.68139,0.39355,0.85794,0.000649046,0.000649046,0.000649046
23,823.074,0.71083,0.44724,0.87539,0.94481,0.8849,0.91541,0.72,0.70055,0.40578,0.87121,0.000627048,0.000627048,0.000627048
24,858.839,0.71258,0.43918,0.87859,0.9559,0.85959,0.90599,0.71938,0.69066,0.38704,0.86495,0.000605051,0.000605051,0.000605051
25,894.9,0.71498,0.44146,0.87358,0.92989,0.85856,0.90443,0.72764,0.68023,0.40805,0.85706,0.000583053,0.000583053,0.000583053
26,930.906,0.69327,0.42637,0.87256,0.94242,0.8686,0.91492,0.72152,0.67298,0.38774,0.85691,0.000561055,0.000561055,0.000561055
27,967.104,0.68945,0.42583,0.87145,0.95004,0.86695,0.90851,0.72761,0.6726,0.38256,0.85825,0.000539057,0.000539057,0.000539057
28,1003.35,0.68147,0.41434,0.86845,0.96644,0.87476,0.91306,0.72262,0.6662,0.38836,0.8549,0.000517059,0.000517059,0.000517059
29,1039.46,0.68596,0.41643,0.86445,0.95916,0.88129,0.91902,0.73286,0.65906,0.37529,0.85636,0.000495062,0.000495062,0.000495062
30,1075.62,0.68171,0.41092,0.86867,0.93991,0.87867,0.91451,0.72399,0.68046,0.37605,0.86409,0.000473064,0.000473064,0.000473064
31,1111.9,0.6668,0.41289,0.86189,0.95659,0.88292,0.91571,0.72717,0.66439,0.37144,0.86049,0.000451066,0.000451066,0.000451066
