epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88657,0.99298,2.44249,3.68788,1.117,0,0.00586,0.44251,0.17633,0.15648,0.0091,0.56245,0.2311,0.17853,0.55954,1.15281,3.51217,0.884,0,0.000125,0.000125,0.000125
2,8.8818,0.77636,1.67768,3.16127,0.94046,0,0.03181,0.88007,0.36821,0.29373,0.03181,0.88007,0.38919,0.31738,0.66253,1.24411,3.28656,0.8763,0,0.000259901,0.000259901,0.000259901
3,10.8379,0.72049,1.53901,2.50126,0.90718,0,0.03087,0.86931,0.38955,0.31249,0.03207,0.90571,0.4089,0.34608,0.64965,1.23031,3.21915,0.8542,0,0.00039208,0.00039208,0.00039208
4,12.7171,0.7325,1.29034,2.0329,0.91678,0,0.03598,0.88007,0.52743,0.42888,0.03598,0.88007,0.54846,0.48166,0.66862,1.03219,3.12759,0.88855,0,0.000521536,0.000521536,0.000521536
5,14.64,0.68992,1.41407,1.71798,0.90125,0,0.03742,0.86518,0.58521,0.49628,0.03742,0.86518,0.38626,0.2654,0.68028,2.08237,2.98304,0.88368,0,0.00064827,0.00064827,0.00064827
6,16.4651,0.69696,1.30713,1.54246,0.9189,0,0.03131,0.89082,0.65016,0.54414,0.03131,0.89082,0.65685,0.55805,0.66374,1.30107,2.79214,0.88739,0,0.000772281,0.000772281,0.000772281
7,18.3093,0.72522,1.24016,1.47677,0.94463,0,0.95587,0.2735,0.64669,0.54769,0.95587,0.2735,0.67505,0.55471,0.70421,1.57677,2.59018,0.92802,0,0.00089357,0.00089357,0.00089357
8,20.132,0.72565,1.42367,1.4595,0.93507,0,1,0.28828,0.66218,0.55035,1,0.28828,0.71707,0.56532,0.73287,1.18563,2.52704,0.91054,0,0.00101214,0.00101214,0.00101214
9,21.9898,0.7079,1.5278,1.40529,0.93022,0,0.95147,0.38516,0.68705,0.55399,0.95147,0.38516,0.70248,0.56281,0.75194,1.33027,2.36104,0.9418,0,0.00112798,0.00112798,0.00112798
10,23.7997,0.69938,1.43352,1.34372,0.90806,0,0.88376,0.62155,0.71612,0.58164,0.88376,0.62155,0.7257,0.60582,0.75296,1.08584,1.86083,0.91857,0,0.00113863,0.00113863,0.00113863
11,25.645,0.60557,1.17662,1.16767,0.88619,0,0.79339,0.63606,0.71128,0.56526,0.79339,0.63606,0.72388,0.62907,0.7064,0.94552,1.50655,0.90653,0,0.00112625,0.00112625,0.00112625
12,27.4947,0.59264,1.542,1.16198,0.88782,0,0.7405,0.71533,0.75071,0.62682,0.73924,0.75621,0.77209,0.66555,0.67544,1.11973,1.48086,0.87984,0,0.00111388,0.00111388,0.00111388
13,29.3667,0.6478,1.40933,1.14895,0.91159,0,0.66962,0.75442,0.75589,0.60255,0.69083,0.7791,0.77951,0.66364,0.73926,1.08449,1.49264,0.88819,0,0.0011015,0.0011015,0.0011015
14,31.2223,0.62632,1.14633,1.1188,0.89642,0,0.64065,0.73863,0.72412,0.5862,0.69096,0.78505,0.74304,0.6377,0.6955,0.97077,1.47956,0.89108,0,0.00108913,0.00108913,0.00108913
15,33.0955,0.62224,1.29557,1.12321,0.89383,0,0.52649,0.67559,0.71073,0.57199,0.55199,0.70814,0.70062,0.56718,0.67529,1.1324,1.48473,0.90956,0,0.00107675,0.00107675,0.00107675
