epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97623,0.77729,1.64968,2.84851,0.95688,0,0.00662,0.59804,0.46541,0.39537,0.00628,0.57843,0.18382,0.08484,0.75711,7.71884,3.15477,0.93684,0,0.00032716,0.00032716,0.0676111
2,11.2062,0.75968,1.3318,1.88126,0.94432,0,0.85273,0.56863,0.61705,0.51092,0.85273,0.56863,0.61586,0.51398,0.76908,1.43919,2.40277,0.939,0,0.000655045,0.000655045,0.0346057
3,14.4363,0.71335,1.30055,1.63734,0.90267,0,0.62944,0.67746,0.66002,0.5353,0.67287,0.69288,0.68585,0.55359,0.80401,1.22197,1.71916,0.94735,0,0.000977429,0.000977429,0.00159471
4,17.5543,0.69972,1.19458,1.52786,0.90248,0,0.54029,0.79557,0.63774,0.5181,0.55039,0.81078,0.65256,0.5546,0.78149,1.16456,1.5667,0.94929,0,0.00097525,0.00097525,0.00097525
5,20.6262,0.66624,1.10509,1.45386,0.88389,0,0.70707,0.74144,0.71165,0.60206,0.70707,0.74144,0.71751,0.62712,0.64858,0.92324,1.45915,0.90879,0,0.000967,0.000967,0.000967
6,23.7462,0.61288,1.07256,1.34777,0.86518,0,0.77204,0.77843,0.77667,0.66549,0.77204,0.77843,0.78137,0.68734,0.62979,0.99043,1.38737,0.9068,0,0.00095875,0.00095875,0.00095875
7,27.1271,0.60408,1.05202,1.27677,0.85345,0,0.77299,0.81102,0.81635,0.69345,0.77299,0.81102,0.82037,0.71402,0.65331,1.01186,1.31134,0.90472,0,0.0009505,0.0009505,0.0009505
8,30.5284,0.57405,0.98708,1.24016,0.84714,0,0.77759,0.76194,0.79897,0.69129,0.77759,0.76194,0.80464,0.68209,0.59794,1.03432,1.25223,0.89789,0,0.00094225,0.00094225,0.00094225
9,33.7661,0.54395,1.04722,1.14411,0.84881,0,0.76176,0.81971,0.82713,0.71097,0.74812,0.83132,0.83246,0.72257,0.59292,1.07092,1.15865,0.89298,0,0.000934,0.000934,0.000934
10,36.9149,0.5433,1.03616,1.11645,0.84111,0,0.8106,0.80205,0.86529,0.7384,0.8086,0.7965,0.81494,0.68948,0.56854,1.467,1.15154,0.87652,0,0.00092575,0.00092575,0.00092575
11,40.0979,0.53847,0.93268,1.07121,0.84091,0,0.91381,0.86078,0.88576,0.76157,0.91381,0.86078,0.89267,0.77665,0.58021,1.02679,1.06411,0.89127,0,0.0009175,0.0009175,0.0009175
12,43.4011,0.51929,0.91413,1.05872,0.84244,0,0.92787,0.84059,0.87917,0.75594,0.92787,0.84059,0.89979,0.77074,0.57633,0.98823,1.07875,0.8936,0,0.00090925,0.00090925,0.00090925
