epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6616,1.3404,2.74841,2.39416,1.31155,0,0.59725,0.30184,0.33046,0.1589,0.50199,0.32735,0.33202,0.17775,1.57801,1.40965,2.22689,1.38434,0,0.000362618,0.000362618,0.000362618
2,32.5251,1.1355,2.12822,1.48262,1.17389,0,0.48017,0.44291,0.44703,0.25154,0.47522,0.44344,0.44113,0.29572,1.32517,1.50157,1.52061,1.17216,0,0.000725695,0.000725695,0.000725695
3,48.492,1.19219,2.1377,1.38403,1.16615,0,0.56541,0.44486,0.56064,0.29402,0.56661,0.46153,0.55919,0.31711,1.48885,2.20926,1.33049,1.26574,0,0.00108144,0.00108144,0.00108144
4,64.5194,1.15421,2.0169,1.25943,1.17874,0,0.57963,0.45092,0.51915,0.29678,0.57803,0.44943,0.51813,0.31551,1.29674,1.50313,1.13264,1.13778,0,0.001078,0.001078,0.001078
5,80.7879,1.10862,2.07764,1.17366,1.1595,0,0.52609,0.55728,0.5341,0.30462,0.50136,0.60079,0.53229,0.34706,1.37898,1.57372,1.24946,1.19645,0,0.001067,0.001067,0.001067
6,97.0125,1.10258,1.88881,1.08191,1.1206,0,0.53168,0.53628,0.52398,0.31529,0.49476,0.53545,0.51189,0.3188,1.07007,1.8036,1.21809,1.03011,0,0.00105601,0.00105601,0.00105601
7,113.292,1.08083,1.88224,1.03052,1.11301,0,0.43168,0.67433,0.57341,0.32314,0.4325,0.6814,0.5635,0.36259,1.41089,1.47111,1.06507,1.17138,0,0.00104501,0.00104501,0.00104501
8,129.703,1.06566,1.84617,0.99934,1.11218,0,0.5091,0.66581,0.56344,0.28832,0.49641,0.59777,0.52894,0.33503,1.50285,1.50512,1.1742,1.21046,0,0.00103401,0.00103401,0.00103401
9,150.798,1.04518,1.81213,0.95997,1.09819,0,0.61714,0.64354,0.61414,0.32995,0.60374,0.63035,0.60177,0.3891,1.43826,1.28183,1.00509,1.21031,0,0.00102301,0.00102301,0.00102301
10,176.725,1.05555,1.76696,0.94616,1.085,0,0.4968,0.52648,0.55784,0.34414,0.48514,0.5286,0.55878,0.37143,1.21746,1.36907,1.11755,1.10734,0,0.00101201,0.00101201,0.00101201
11,198.007,1.0443,1.84463,0.92684,1.10597,0,0.63094,0.61976,0.61309,0.33204,0.58619,0.66375,0.59769,0.37926,1.48272,1.32088,1.21592,1.22212,0,0.00100101,0.00100101,0.00100101
12,218.107,0.99366,1.7229,0.87379,1.0785,0,0.52931,0.63224,0.5801,0.32158,0.52077,0.62935,0.57963,0.37459,1.45573,1.30851,1.2043,1.18884,0,0.000990012,0.000990012,0.000990012
13,234.364,1.01539,1.64793,0.88017,1.08289,0,0.58753,0.68428,0.64505,0.38318,0.61238,0.69819,0.64602,0.40692,1.19281,1.43266,0.97568,1.08828,0,0.000979013,0.000979013,0.000979013
14,250.741,1.03519,1.69119,0.89682,1.08943,0,0.56803,0.63885,0.59126,0.34843,0.58411,0.63438,0.60078,0.37155,1.22967,1.66146,1.19613,1.09302,0,0.000968014,0.000968014,0.000968014
15,266.996,1.0136,1.6253,0.82229,1.0671,0,0.59051,0.66763,0.63391,0.37793,0.60901,0.66679,0.63629,0.42426,1.33034,1.27857,0.98237,1.15338,0,0.000957015,0.000957015,0.000957015
16,283.38,1.00632,1.65665,0.84326,1.07673,0,0.60741,0.68331,0.64559,0.35746,0.61951,0.67422,0.63841,0.41616,1.50076,1.27177,0.89392,1.22312,0,0.000946016,0.000946016,0.000946016
17,299.8,0.99477,1.63354,0.78835,1.06679,0,0.58664,0.66702,0.62452,0.35938,0.59125,0.66999,0.63302,0.40035,1.40544,1.53699,0.95121,1.18713,0,0.000935018,0.000935018,0.000935018
18,316.091,0.98601,1.60153,0.80126,1.06126,0,0.63712,0.65106,0.65458,0.3604,0.6305,0.64725,0.6428,0.41903,1.48593,1.20597,0.96904,1.19803,0,0.000924019,0.000924019,0.000924019
19,332.387,0.95829,1.53327,0.74873,1.04874,0,0.54514,0.62355,0.58591,0.33794,0.55672,0.62235,0.58486,0.39132,1.44001,1.20321,1.03319,1.19161,0,0.00091302,0.00091302,0.00091302
20,348.576,0.97416,1.56756,0.74875,1.06129,0,0.58393,0.65125,0.6222,0.3711,0.58748,0.65479,0.62212,0.42285,1.29448,1.37037,0.90939,1.13407,0,0.000902021,0.000902021,0.000902021
21,364.887,0.95132,1.51471,0.75995,1.03851,0,0.63281,0.60365,0.66792,0.37344,0.62843,0.60365,0.65462,0.41881,1.37199,1.16414,0.93181,1.16728,0,0.000891022,0.000891022,0.000891022
22,381.401,0.93684,1.51584,0.69926,1.02852,0,0.71097,0.58474,0.66511,0.40443,0.69816,0.57572,0.63697,0.43511,1.3278,1.27366,0.97849,1.13693,0,0.000880023,0.000880023,0.000880023
23,397.787,0.95761,1.54193,0.70282,1.03663,0,0.54231,0.70372,0.59983,0.34754,0.54584,0.69984,0.60057,0.39215,1.40093,1.25484,1.06428,1.17404,0,0.000869024,0.000869024,0.000869024
24,413.931,0.96008,1.51203,0.72102,1.03984,0,0.61879,0.59246,0.65264,0.37051,0.59666,0.59576,0.63921,0.41298,1.56464,1.28306,1.1061,1.27278,0,0.000858025,0.000858025,0.000858025
